local authority: county / unitary (as of April 2023),LA Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Wirral,E08000015,334269,332687,330802,328899,326277,322748,320382,318629,317011,316503,315004,315050,315371,315130,314925,315350,315670,316711,317771,319078,319837,319971,319965,320917,320714,320914,321020,320643,320732,320249,320631,322439,324852
Lancashire,E10000017,1116402,1117346,1121679,1123677,1125542,1125818,1127410,1129000,1129630,1132910,1136542,1138374,1144581,1149463,1154308,1159140,1161832,1163352,1164141,1167579,1171558,1174321,1178586,1183512,1189153,1195310,1202420,1208672,1217384,1224128,1236228,1253922,1270162
"Kingston upon Hull, City of",E06000010,263331,265380,264961,266432,266188,264715,261905,259764,255872,252286,249913,249463,250604,253049,255159,255497,255761,256746,256079,256174,256123,258085,259094,260896,262711,265338,267566,268223,268749,267591,266516,268677,271942
East Riding of Yorkshire,E06000011,294403,295948,299270,302348,304388,304134,305491,306845,309144,311511,314854,318633,321869,325117,327268,328587,330865,332464,332748,333599,334673,334972,334572,335625,334735,336323,336697,337192,338944,341050,343145,346316,350119
North East Lincolnshire,E06000012,161039,161211,161825,161378,160401,159172,158560,157825,157988,157633,157951,158003,158373,158542,158725,158610,158589,158708,158689,158951,159735,159408,159456,159420,159140,158877,158699,158460,157957,157313,157188,157745,158335
North Lincolnshire,E06000013,152907,152910,152185,152853,151844,152211,152242,152230,151962,152470,152964,154240,156196,158211,159679,161163,162801,164519,165572,166539,167516,167974,168309,168816,169212,170174,170616,170384,170283,170034,169929,170085,170087
York,E06000014,172272,171657,171681,172673,172859,174470,174953,176277,177145,179107,181291,182088,183960,186643,188214,188977,189770,190768,192398,195070,197783,199157,201168,202206,203212,202892,203546,203906,203877,202169,201851,204115,206780
North Yorkshire,E06000065,541800,546103,544706,547753,551984,553703,555468,558107,562012,565610,570094,573186,576130,579959,584001,587299,591247,594979,596396,599028,601206,603963,604151,603672,603711,605770,607291,607735,610660,610899,618627,623896,627629
Barnsley,E08000016,223221,222441,222025,221774,220923,220351,219655,219408,218692,217765,218124,218851,220165,221227,222618,224419,225989,227754,228973,230066,231865,233259,234875,236421,238242,240061,241287,242360,243558,244201,244887,246448,248449
Doncaster,E08000017,291657,291724,290804,290486,290639,289260,288876,287571,286949,286989,286900,288647,290111,290850,292174,293990,296215,298388,300184,301299,302468,302626,302991,303673,304311,306137,307058,308237,308438,308185,308697,310964,314176
Rotherham,E08000018,253674,253348,253446,252946,251891,250888,250127,249029,247949,247010,248349,249610,250886,251722,252675,253638,254180,255271,256313,256893,257716,258710,259391,261391,262063,263273,264167,265154,265991,265593,266173,268267,271195
Sheffield,E08000019,520098,520774,520766,518632,516742,518133,517540,517596,516334,514573,513102,514201,515339,519640,525721,527629,529905,534035,538385,544613,551756,553842,555253,554805,555074,556599,555675,556771,556399,555036,555035,564702,573252
Bradford,E08000032,468808,469499,470360,471338,471163,470804,469199,468001,466933,467124,470753,475184,479166,484650,491361,495658,501357,507323,512392,518002,523115,525522,528712,531795,534919,538178,540447,542542,545966,547141,546839,553044,560194
Calderdale,E08000033,192871,192728,192443,192293,191761,191256,191126,191137,191238,191928,192379,193201,193968,194980,196270,197761,199275,200960,202078,203049,204170,205116,205854,206614,207027,207744,207459,207215,207729,206976,206828,207660,208735
Kirklees,E08000034,378967,380115,382064,382683,383208,383815,383942,384675,385290,386892,388980,392118,394486,397530,400724,404266,407974,411807,414785,418339,422970,424922,427009,429036,431110,432588,433393,433571,433259,432878,433458,437794,442033
Leeds,E08000035,706724,710427,713291,712903,713694,715774,716309,715925,714879,713366,715609,716380,717592,723042,735054,736204,738560,741665,743885,747571,750683,758029,764369,770434,777987,786739,793134,797696,804640,808443,809479,820802,829413
Wakefield,E08000036,314328,314768,314315,313595,312890,312568,312168,313313,313938,314345,315380,316306,317469,318037,318765,320318,321650,323288,324467,325595,326433,327901,329888,331624,333908,337365,340749,344437,348201,350978,353803,357698,361786
Derby,E06000015,222881,224129,225217,226548,227650,229225,230477,230893,231252,230794,230726,231979,232827,234501,236470,238110,239917,241865,243980,247035,248943,251804,253812,255320,257406,259883,261104,262395,263014,261999,261260,263620,266460
Leicester,E06000016,281467,281949,285620,289504,291741,291039,289611,290009,285940,283787,282757,285295,288648,294127,301543,306548,311303,315473,319708,324912,329627,334099,338852,342917,349853,356789,361895,367094,369776,368922,366940,372495,379780
Rutland,E06000017,33021,32761,32369,32209,32796,33132,32866,32553,33537,34141,34598,35295,35559,35623,36115,36510,37110,37478,37417,37670,37581,37114,37833,38294,38438,39044,39831,40053,40175,40633,41342,41225,40643
Nottingham,E06000018,279428,279783,278692,277215,277613,276704,278594,277365,273537,270739,268939,271769,275547,279624,284834,286459,288164,290783,294808,299753,303899,307436,308681,310339,313265,317625,320378,322323,323160,322822,319978,327424,329276
North Northamptonshire,E06000061,266556,268135,268383,269577,270557,271582,272955,275309,278511,282093,285093,287657,290977,293506,297012,301168,306155,309747,312196,314555,317959,322316,325788,330649,335250,341647,347704,351998,354848,356437,360418,363244,367991
West Northamptonshire,E06000062,317542,320013,321934,323749,327551,331981,336689,340110,342215,343409,345893,349123,351689,353110,357438,362435,365907,368454,371268,373456,376008,380827,385699,391024,397939,405019,411732,417242,422168,422559,426707,429511,434349
Derbyshire,E10000007,713531,715652,716987,717403,718945,720526,721649,725199,728112,731897,734888,738409,742242,745470,749009,752649,756594,761238,764317,767948,770688,772590,774002,776326,777373,779957,782882,784926,788880,790833,796710,803455,811449
Leicestershire,E10000018,573336,580370,584275,586119,588763,593137,595224,593967,601565,605635,610279,614065,617968,622134,624852,629556,634555,639236,642255,646292,651179,655098,658881,665412,671115,678088,687456,695090,700817,705536,712632,722940,734015
Lincolnshire,E10000019,588583,595428,600784,605513,612472,617230,621156,625994,632709,640163,647640,655580,663197,672415,677324,685414,693739,700780,705599,711805,714768,719807,725901,732981,738351,746141,753031,757281,761263,763610,769440,775864,782808
Nottinghamshire,E10000024,735066,738471,741632,743883,743575,743514,741099,741246,745065,745418,748809,752581,756426,760966,764515,767827,771330,776071,780105,783645,786796,789611,795119,799367,802650,807422,812333,816749,819900,822118,826132,835054,844494
"Herefordshire, County of",E06000019,160430,162055,163517,165165,165941,166557,168466,171014,171997,173612,174885,175258,175648,176033,176587,178103,179930,181791,182367,182865,183619,184208,184748,185523,185778,186225,186687,186511,186373,185886,187522,188696,189890
Telford and Wrekin,E06000020,141294,142245,143247,144437,146143,146253,149670,152900,153730,155846,158573,159401,159848,160603,161535,162710,163368,164089,164889,165641,166831,167964,169014,170610,172898,175352,177528,179548,182081,183483,185857,189000,191915
Stoke-on-Trent,E06000021,249409,248882,248510,249472,249265,248976,247360,245298,244130,241989,240422,239955,240031,241078,241481,243069,243697,245509,245869,247381,248719,250322,251568,253316,254095,256168,258235,258843,259181,258866,258102,260008,263157
Shropshire,E06000051,268716,269333,269841,272689,274515,276031,274693,277374,279294,281479,283254,284901,286913,288810,291523,294531,297633,300473,302069,304523,307108,307921,308181,309436,310751,312836,315232,317112,319729,321054,324669,327479,329260
Birmingham,E08000025,1004502,1004259,1005419,1000140,999108,1001087,993650,991380,989712,985119,984642,990384,996356,1002376,1014650,1020843,1029021,1038980,1050072,1061074,1074283,1084661,1094531,1103724,1114932,1131271,1139893,1146050,1150646,1148692,1143285,1154221,1166049
Coventry,E08000026,303871,302938,302585,301695,303096,306426,304736,305005,304840,303066,302804,301295,300665,298174,298386,300129,301429,305186,307393,311674,316915,318141,322146,325066,331112,337064,340034,342811,343715,344702,344151,352889,360702
Dudley,E08000027,307669,308609,308431,308164,307630,306579,305220,304812,304878,304664,305052,305645,305585,306171,307004,307846,308686,310377,311088,312206,313261,313631,314460,315700,316393,317669,319539,320989,322090,322513,323591,324931,326680
Sandwell,E08000028,292586,291691,291614,291010,290700,288927,287666,287133,286085,285102,284594,285637,287135,288849,290447,292516,294603,298358,302303,306181,309042,312710,317499,321610,325911,330051,333826,336977,340198,341436,341895,344582,347551
Solihull,E08000029,200432,199529,198515,199367,199688,200093,200708,200736,200190,199013,199574,200028,200536,201153,201557,202351,203170,204778,205470,206329,206856,207729,209115,211205,211697,213061,214330,214901,216323,216432,216677,217784,218793
Walsall,E08000030,261267,260688,261378,260245,258462,257712,256631,255540,255808,254899,253333,254287,255352,256702,258172,259454,260939,263034,264774,266834,269524,270517,271704,273764,275490,278429,281229,282921,284600,284578,284392,286218,288736
Wolverhampton,E08000031,248466,247902,247285,245186,244900,245162,242856,242015,240691,239537,238016,239088,239851,240567,241647,242889,243910,245349,246016,247640,249852,251444,252358,254351,256127,258305,260648,262474,263519,263123,264260,267888,272425
Staffordshire,E10000028,791588,793546,795054,795412,796896,795688,801134,803728,803660,804497,807152,810199,815228,818563,822713,827321,833122,838142,841270,845272,849546,850682,854573,856391,857167,861230,863528,866810,870117,872087,877808,886294,898521
Warwickshire,E10000031,487116,489272,490409,492338,493824,494719,496786,499075,499565,501190,506193,510691,515056,518637,523653,529059,534381,539384,542131,544166,546554,550276,553178,557454,561471,566625,572303,578389,584155,589253,599115,607713,617823
Worcestershire,E10000034,512353,516426,520125,523975,526743,528836,532702,535342,537379,539613,542233,544474,547271,548660,551332,554700,558035,560790,562296,564080,566557,570119,573870,578732,582465,587962,592040,594992,598250,599819,604902,609323,614185
Peterborough,E06000031,154181,155438,155664,158024,158741,158128,156407,155877,156520,156616,157439,158794,160778,163485,167220,169887,172443,176027,178963,181762,184457,188675,192488,195766,200246,205091,208237,211037,213026,213718,216470,217657,219509
Luton,E06000032,173655,175851,178636,180820,181387,181577,182158,184264,184990,185491,185889,185631,185016,183563,185392,187312,189742,192084,195449,199583,203641,205873,209624,213749,217612,220952,220752,221532,223106,224132,224958,227298,231028
Southend-on-Sea,E06000033,161204,162428,163487,164386,163928,163340,165092,163820,162915,161585,160362,161159,161437,161488,162645,163776,165429,168150,170013,172122,174274,175196,176350,178610,179203,180465,181405,181877,182115,181276,180655,180884,182271
Thurrock,E06000034,128672,130902,131647,132480,133351,134678,135329,138698,139469,141513,143297,144728,145977,147056,148556,150206,151741,153633,155003,156585,158268,160026,161702,164451,166622,168977,170966,173113,174924,175803,175933,176788,178201
Bedford,E06000055,135443,136858,136991,137006,137231,138023,139990,141556,143765,146146,148113,149589,150684,151308,151747,152346,153107,154164,154808,156535,157840,160344,163672,166856,170149,173703,175537,178288,180651,182346,185796,187503,189891
Central Bedfordshire,E06000056,220504,221311,221196,222301,223742,225607,226525,227371,230636,232004,234006,236297,238547,240444,242062,244351,246803,249035,250329,252460,255644,259524,263425,267066,270962,274909,277655,280414,284688,289105,295651,301820,308302
Cambridgeshire,E10000003,510586,516185,519017,518694,522685,530401,538927,544946,547582,551368,554704,558916,568743,574445,583651,588890,594338,600808,606238,614899,622312,628779,634996,643025,651011,657286,661465,665676,668649,671281,680747,690058,699573
Essex,E10000012,1249099,1253611,1255495,1261587,1267652,1273322,1278254,1284198,1295043,1304417,1312599,1319145,1326079,1334632,1345170,1354301,1362888,1373172,1379503,1388913,1396599,1407607,1418900,1436516,1447710,1460525,1469674,1478385,1489341,1495515,1506726,1519859,1536118
Hertfordshire,E10000015,984323,988863,991088,995417,999787,1002650,1009700,1016401,1024006,1029817,1035523,1040387,1045337,1047366,1055483,1063202,1072954,1085434,1096599,1107641,1119824,1131536,1143681,1156321,1167308,1180234,1185014,1188182,1193394,1198052,1200899,1205137,1215387
Norfolk,E10000020,754319,757659,759523,762389,765596,769295,774473,780863,786454,793509,798618,803463,810127,815690,822890,829062,834945,841495,846355,852926,859426,864776,870771,876986,882938,891150,898548,903527,906964,909883,918462,925695,931943
Suffolk,E10000029,649066,643483,641625,644811,651600,655739,660060,664034,667342,672506,669913,674579,681408,689087,697837,702961,709144,714348,718183,723976,730133,732697,734875,740175,744501,747783,753590,755345,757321,756668,763349,768719,776442
City of London,E09000001,5361,5167,5309,5425,5489,5551,5670,5720,6581,7014,7359,7280,7115,7118,7131,7254,7607,7429,7472,7338,7412,7514,7537,7567,7668,7737,7877,8165,8765,8331,8689,11457,13462
Barking and Dagenham,E09000002,155487,156175,156191,156757,157396,157264,158302,160976,162444,163893,165654,166357,166210,165610,166275,167157,169031,172452,177580,182838,187029,191453,196204,201244,206450,211047,214017,216298,218828,219227,218714,220039,222308
Barnet,E09000003,297676,296900,296553,297330,298968,302952,304634,308345,313469,315784,319481,320552,321802,323723,327541,330801,334837,339212,345829,351438,357538,363260,368611,373853,377826,382925,384117,387574,390590,391046,388955,390346,395007
Bexley,E09000004,218075,218089,218315,218591,218543,217689,215722,216318,217458,218717,218757,219123,220016,220917,222391,223280,224625,226652,228146,230711,232774,234435,236169,239112,241427,244006,244494,245244,246622,246924,246637,247754,250853
Brent,E09000005,240813,240284,241689,245704,248359,251967,255298,259908,260317,264945,269620,269871,268323,268335,270939,276504,283273,290901,298118,304785,312245,317984,324345,329981,335605,339524,342439,345558,347424,343988,339248,341183,344521
Bromley,E09000006,293491,291936,289908,289977,290022,291728,293106,291697,294902,295317,296218,296668,297253,297307,299421,300963,302625,304968,306924,308560,310554,314663,318582,321800,325653,327701,329134,330367,331192,331247,329899,329689,331162
Camden,E09000007,180708,179118,179270,180027,182454,186251,186183,183911,190003,196174,202567,203972,204254,207341,211088,211032,211520,210273,212924,214725,220087,219647,221348,221095,221032,221024,218833,217915,217136,214768,210968,217365,220903
Croydon,E09000008,315868,317156,319216,322775,326822,329414,330923,333046,332066,334241,335112,335415,335919,337134,339052,340449,344029,349308,352763,357951,364815,369617,374270,378244,381277,384382,385567,386999,390643,392101,390691,392610,397741
Ealing,E09000009,283782,284936,285801,286383,288486,292811,293995,296274,302252,304370,307276,309242,308108,310073,312774,315329,318671,324022,329966,334073,339314,344834,350650,354660,359144,362163,362670,364208,367284,367936,366762,370129,375340
Enfield,E09000010,260133,260632,260769,260027,262787,265033,268379,268886,272731,275068,277266,280745,281835,282217,284779,287429,291534,297443,301971,307648,313935,317780,321754,326340,330868,333295,333077,334000,335151,333149,329876,327426,327429
Greenwich,E09000011,210865,211922,211340,210197,209254,209839,211249,212322,212168,214438,217460,221476,224303,227190,230494,233990,236535,239748,243672,249171,255483,260360,264036,268305,274230,278768,282376,285773,288205,288384,289537,291879,294113
Hackney,E09000012,184956,186816,188193,190266,192858,193068,191448,194706,199087,203381,207246,210961,212405,213581,216512,220193,224480,231041,236622,241739,247182,251193,255646,258735,261929,264892,264834,266210,265825,263782,260082,261632,263282
Hammersmith and Fulham,E09000013,153794,153282,152504,153762,153482,154951,155105,155458,160634,164393,169374,171989,171510,172083,173292,174675,176472,177088,180116,180842,182445,184439,186056,186659,187246,187472,187720,189037,188562,186555,183310,185506,186176
Haringey,E09000014,207034,205769,206461,207447,208881,211578,215081,216582,218559,219845,221251,224474,225027,226472,229271,233174,236793,244459,249805,252742,255540,259312,265054,268901,272938,276262,274463,274240,273716,269534,264317,262413,262895
Harrow,E09000015,203013,203710,206284,207373,206968,207186,206933,206662,207909,209114,210044,212336,213728,216267,221109,223632,226355,229567,233495,237451,240499,243800,247018,251618,255308,257317,257881,259861,262065,262281,261159,261933,263448
Havering,E09000016,230923,229111,229385,228696,227567,227115,226039,223641,225712,225141,224717,225054,225248,225769,226990,228198,229789,231793,234127,236234,237927,239946,242550,246771,250449,254487,257429,259229,261296,261906,262086,264675,268145
Hillingdon,E09000017,234384,234457,235675,238708,240146,241958,242901,243587,245053,245911,245616,247063,248054,248691,251430,254387,256981,261051,265665,269465,275499,281263,285982,290225,294011,297451,299469,302263,305641,306460,305107,310894,319018
Hounslow,E09000018,203917,201987,201992,201756,203691,206034,210146,212445,214298,214731,215976,216888,216498,219440,223776,228126,233454,237907,243366,249236,254927,260584,265547,270773,275097,278601,281117,285430,289652,289773,288164,291199,295706
Islington,E09000019,171754,172658,172914,173368,173016,174651,175665,177949,175717,177852,179387,180118,180899,180831,183477,185283,188636,192089,196704,200129,206285,208762,212604,214986,218255,220620,221535,221453,221994,221018,217050,219594,220584
Kensington and Chelsea,E09000020,143626,142237,141532,139997,140603,141099,142096,143140,147678,154661,162199,163827,165268,165752,168375,165245,162883,162579,161893,160463,158251,157240,156823,156178,156149,152708,149651,148471,146805,144874,144266,146392,147460
Kingston upon Thames,E09000021,136062,136139,136095,136420,137785,139225,141330,143765,146003,147328,149045,149642,149683,151055,152489,153667,154485,156027,157307,158648,160436,162562,164418,165791,167594,168617,168781,168729,169797,169770,167992,169082,170454
Lambeth,E09000022,254990,255614,254615,256622,257197,259743,259854,263843,266817,270028,273372,273041,272195,274262,277620,280524,284964,289126,294050,297650,304481,310449,314375,318196,322881,326613,327227,328923,329513,325527,317691,316700,315706
Lewisham,E09000023,240233,239738,240409,241983,240428,243090,243946,247223,250310,252106,254336,253662,251936,252455,254930,257976,261188,266508,270418,272525,276938,281011,286056,291086,295364,298809,300924,303127,305906,304169,300013,299023,298708
Merton,E09000024,170924,171672,173711,175754,177695,180623,181675,182355,185062,188196,191106,190561,189298,188908,190583,192520,194260,195859,198136,199136,200543,205166,208529,211025,213791,215514,215431,216171,217219,217101,215426,215121,215219
Newham,E09000025,216251,219204,222283,224919,227993,229900,231032,235001,240517,245463,249411,255282,256224,254434,253798,257994,266285,276478,286447,299171,310460,313750,316952,322984,330322,335337,338333,344570,349786,350025,351256,357147,362552
Redbridge,E09000026,221999,223487,224747,226684,228714,232804,234974,235997,238138,239868,241893,244273,247412,248774,251560,255590,259965,265452,270435,275088,281395,285437,289976,295837,301022,304369,305937,308841,311780,311750,310130,311515,313392
Richmond upon Thames,E09000027,166629,165137,164561,165028,166648,168659,170044,169945,172782,172920,174311,175441,177182,179312,181508,182520,182421,182927,184394,186304,187527,189934,192375,194492,194966,196293,196849,197119,198185,197797,195315,195165,195513
Southwark,E09000028,227246,228414,231361,231606,236885,236620,238968,242150,247853,252726,256712,256269,255242,257257,261811,267553,272626,276973,281120,283777,288717,293078,297868,299685,304048,306720,307640,310492,312591,312055,306762,311492,315519
Sutton,E09000029,170093,171023,172600,172918,174230,175731,177026,177868,179375,180485,181461,181265,181267,181094,182103,182882,184174,185860,188167,189321,191123,193982,196678,199144,201208,203299,204824,206286,208516,209921,209617,210293,211123
Tower Hamlets,E09000030,166326,167265,169046,171533,175209,180292,184845,187909,193507,197133,201090,207031,208651,211154,213382,218400,225251,231893,240495,248520,256012,261936,270294,277060,282674,289011,293526,300050,305066,306780,312715,323854,328626
Waltham Forest,E09000031,215893,216582,217965,220094,220424,220017,219795,222251,221057,221296,222015,223776,224115,225002,226747,230731,235665,242098,248140,254009,259742,263575,267963,270606,274579,277081,278105,279795,281015,279527,278147,276312,275980
Wandsworth,E09000032,261976,261817,260918,261324,259903,261066,260633,260965,264220,267695,271742,274917,276828,278615,283229,287538,291440,294305,299347,302620,307710,312262,316810,319898,322658,326413,329493,331069,334558,333678,328429,329358,331456
Westminster,E09000033,185032,180974,176879,174076,174220,178498,181841,184652,189233,196478,203329,208100,211009,214557,223132,222829,220619,218673,216980,217187,219582,219539,215907,214341,215876,213193,210459,209868,208415,205624,205759,209866,211508
Medway,E06000035,242528,243686,242616,242586,241417,241287,242314,245341,246383,248474,249704,250262,251159,251459,252098,253478,255824,258224,260230,262738,264885,268144,271084,273977,276037,277504,278652,278827,279852,280364,279903,282643,286800
Bracknell Forest,E06000036,98063,99450,100936,103532,106369,108610,108970,108951,109819,109680,109650,109490,109475,109189,109487,109896,110702,111455,111916,112893,113696,115100,116552,117979,119078,119553,120164,121046,121660,123188,125195,127030,128351
West Berkshire,E06000037,138764,139316,140444,141024,142052,143113,143609,143671,144129,144201,144494,143913,144297,145147,146492,148107,150056,152024,153039,153943,154148,155172,156789,157663,158895,160551,160729,160953,160883,161026,161864,162397,163367
Reading,E06000038,134827,135342,135479,135794,138421,139491,142185,144129,143512,143912,144684,143915,144070,144590,146940,148321,149678,151460,152326,154296,155339,159065,163089,166300,169220,171750,173047,174484,174288,173879,173371,175742,178196
