AREA_CODE,AREA_NAME,2018,2019,2020,2021,2022,2023,2024,2025
E07000069,Castle Point,90070,90289.337,90499.644,90739.335,90974.907,91202.804,91427.959,91653.843
E07000130,Charnwood,182643,185216.954,187556.318,189640.583,191634.809,193658.91600000003,195690.63,197770.596
E07000070,Chelmsford,177079,178711.863,180244.951,181753.044,183174.187,184528.706,185791.903,186966.129
E07000078,Cheltenham,117090,117278.98,117415.634,117519.22,117650.807,117834.282,118069.891,118322.084
E07000177,Cherwell,149161,150447.895,151723.562,152976.307,154141.217,155236.555,156219.378,157131.506
E06000049,Cheshire East,380790,382838.535,384887.782,386993.657,389048.89700000006,390979.58,392820.499,394546.162
E06000050,Cheshire West and Chester,340502,343468.386,346191.67100000003,348819.38899999997,351399.883,353918.85,356319.834,358652.01200000005
E07000034,Chesterfield,104628,104836.576,105012.228,105216.05,105417.693,105604.7,105802.417,105993.892
E07000225,Chichester,120750,121748.348,122615.504,123462.673,124284.54,125101.713,125907.414,126686.565
E07000118,Chorley,116821,118224.33,119521.996,120776.657,121941.599,123033.445,124077.429,125056.557
E07000071,Colchester,192523,195028.522,197245.908,199241.785,201148.379,202986.602,204763.593,206470.425
E07000079,Cotswold,89022,90493.054,91983.159,93320.959,94607.575,95846.745,97046.807,98214.004
E06000047,County Durham,526980,529678.137,531946.548,533971.416,535874.935,537806.545,539668.719,541478.04
E08000026,Coventry,366785,373389.1420000001,378965.869,383820.247,388311.408,392538.586,396579.164,400523.144
E07000226,Crawley,112448,113025.671,113531.014,114002.874,114428.26,114799.039,115128.265,115392.457
E09000008,Croydon,385346,386493.166,387683.944,388903.134,390018.339,390966.6370000001,391717.881,392342.068
E07000096,Dacorum,154280,155092.596,155839.416,156616.139,157371.124,158053.80800000002,158674.97199999998,159198.991
E06000005,Darlington,106566,106695.034,106827.89,106933.438,107023.697,107074.716,107110.64,107106.816
E07000107,Dartford,109709,111864.333,113886.872,115826.393,117689.985,119447.811,121088.179,122610
E06000015,Derby,257174,258026.871,258710.193,259308.326,259877.482,260440.18,261018.34,261600.898
E07000035,Derbyshire Dales,71977,72131.009,72331.549,72552.896,72761.651,72980.267,73182.054,73384.795
E08000017,Doncaster,310542,312211.869,313762.058,315242.957,316661.706,317956.50800000003,319124.033,320193.70399999997
E07000108,Dover,116969,118323.023,119639.626,120937.567,122193.456,123427.417,124596.755,125714.459
E08000027,Dudley,320626,322228.695,323692.063,325147.156,326578.251,327913.656,329196.276,330431.49100000004
E09000009,Ealing,341982,341461.456,340939.89200000005,340452.075,339967.263,339404.143,338695.37899999996,337903.026
E07000040,East Devon,144317,146412.99800000002,148493.03,150551.582,152608.159,154612.905,156536.52,158379.55800000002
E07000085,East Hampshire,120681,121644.961,122559.943,123420.169,124260.155,125030.654,125738.085,126411.584
E07000242,East Hertfordshire,148105,148910.34,149827.536,150745.383,151647.915,152425.358,153151.935,153822.166
E07000137,East Lindsey,140741,141927.792,143101.511,144288.285,145412.441,146506.478,147574.756,148571.39
E06000011,East Riding of Yorkshire,339614,340907.49299999996,342195.035,343506.875,344855.409,346145.636,347327.464,348422.894
E07000193,East Staffordshire,118574,119416.54,120211.727,120976.73,121723.316,122427.151,123097.96,123741.64
E07000061,Eastbourne,103160,103550.99,103865.69,104173.222,104499.102,104829.095,105173.352,105523.507
E07000086,Eastleigh,131819,133074.86,134262.286,135403.772,136490.904,137503.637,138472.689,139363.156
E07000207,Elmbridge,136626,136813.667,137026.751,137235.286,137451.478,137577.191,137630.668,137645.27300000002
E09000010,Enfield,333869,334687.43100000004,335480.951,336242.585,336886.37200000003,337349.711,337620.37799999997,337732.802
E07000072,Epping Forest,131137,131721.046,132283.923,132873.534,133451.18099999998,133969.381,134449.676,134898.133
E07000208,Epsom and Ewell,79928,80239.395,80554.95,80865.288,81193.33,81511.12400000001,81749.056,81966.50200000001
E07000036,Erewash,115490,115865.826,116230.113,116572.102,116922.662,117252.862,117567.838,117877.17
E07000041,Exeter,130428,131355.33,132228.221,132921.02800000002,133544.822,134254.109,135031.793,135878.277
E07000087,Fareham,116339,116710.861,117069.848,117437.162,117809.331,118140.186,118479.269,118806.832
E07000010,Fenland,101491,102597.791,103621.264,104601.408,105531.458,106415.555,107250.501,108029.013
E07000112,Folkestone and Hythe,112578,113407.196,114211.129,115026.308,115854.671,116655.218,117441.386,118191.337
E07000080,Forest of Dean,86543,87281.927,88006.27900000001,88755.95,89506.31,90254.247,90992.109,91720.108
E07000119,Fylde,79770,80571.55,81342.812,82109.837,82851.337,83556.302,84196.726,84811.95800000001
E08000037,Gateshead,202508,202731.812,202828.793,202822.7,202807.033,202781.824,202749.867,202696.368
E07000173,Gedling,117786,118545.812,119267.142,120001.444,120684.061,121337.538,121981.913,122580.437
E07000081,Gloucester,129285,129932.366,130514.505,131061.657,131596.325,132142.05800000002,132657.749,133163.206
E07000088,Gosport,85283,85216.243,85167.492,85126.826,85095.711,85054.243,85016.655,84974.64199999999
E07000109,Gravesham,106385,106549.192,106722.31,106907.221,107105.17,107295.457,107441.139,107563.968
E07000145,Great Yarmouth,99370,99751.356,100097.346,100450.082,100793.697,101103.398,101408.572,101708.06
E09000011,Greenwich,286186,289729.683,292964.012,295947.363,298706.839,301268.021,303573.983,305658.107
E07000209,Guildford,147889,148597.947,148940.1,149057.485,149091.878,149077.35,149045.948,149019.527
E09000012,Hackney,279665,282822.214,285721.36600000004,288420.64,290890.942,293134.104,295111.077,296862.62100000004
E06000006,Halton,128432,128982.668,129522.541,130040.722,130533.166,130999.866,131417.592,131793.296
E09000013,Hammersmith and Fulham,185426,187449.798,189193.20899999997,190731.593,192060.219,193201.937,194138.758,194930.063
E07000131,Harborough,92499,93564.823,94634.707,95719.198,96759.416,97776.502,98775.177,99705.884
E09000014,Haringey,270624,271330.109,271984.104,272588.445,273154.693,273592.561,273895.193,274077.455
E07000073,Harlow,86594,87029.772,87424.67300000001,87777.76400000001,88121.869,88422.836,88704.224,88958.296
E09000015,Harrow,250149,250418.642,250751.221,251094.898,251349.698,251461.865,251466.808,251388.758
E07000089,Hart,96293,96909.687,97493.404,98053.052,98574.365,99039.437,99395.882,99707.066
E06000001,Hartlepool,93242,93365.99,93458.382,93549.758,93620.67,93673.06,93694.886,93697.295
E07000062,Hastings,92855,92939.389,92984.259,93049.171,93129.684,93215.351,93292.863,93367.289
E07000090,Havant,125813,126828.566,127785.951,128711.003,129595.908,130426.745,131233.407,132005.83
E09000016,Havering,257810,259921.805,261921.47,263897.11699999997,265773.601,267541.446,269201.06899999996,270775.689
E06000019,Herefordshire,192107,193692.047,195188.566,196649.202,198091.004,199469.631,200767.726,202013.254
E07000098,Hertsmere,104205,104525.036,104850.242,105172.865,105470.358,105722.488,105957.121,106125.178
E07000037,High Peak,92221,92586.235,92931.462,93304.469,93669.967,94025.695,94377.332,94718.906
E09000017,Hillingdon,304824,307241.048,309310.44,311126.067,312669.232,313989.349,315096.48699999996,316030.105
E07000132,Hinckley and Bosworth,112423,113731.356,115022.92,116327.037,117611.266,118833.821,120065.45,121248.037
E07000227,Horsham,142217,143712.024,145249.75400000002,146828.869,148339.699,149766.054,151124.947,152411.805
E09000018,Hounslow,270782,271961.918,272978.38300000003,273877.675,274589.675,275139.562,275505.433,275712.437
E07000011,Huntingdonshire,177352,178169.71399999998,178911.02800000002,179639.676,180343.629,181001.38,181611.264,182198.48
E07000120,Hyndburn,80815,81063.668,81250.652,81422.787,81573.667,81707.16900000001,81827.077,81932.37400000001
E07000202,Ipswich,137532,137259.225,137012.125,136796.981,136583.539,136366.805,136134.626,135891.672
E06000046,Isle of Wight,141538,142359.466,143139.856,143930.676,144710.918,145475.573,146216.43300000002,146927.796
E09000019,Islington,239142,242057.014,244496.826,246536.058,248256.93,249695.792,250920.091,251954.423
E09000020,Kensington and Chelsea,156197,156238.657,156242.99300000002,156230.855,156211.446,156134.263,155991.053,155798.34699999998
E07000146,King's Lynn and West Norfolk,151811,152254.234,152653.642,153030.74800000002,153397.024,153752.335,154116.84900000002,154446.758
E06000010,Kingston upon Hull,260645,261061.763,261183.613,261194.978,261132.259,261047.986,260989.316,260952.643
E09000021,Kingston upon Thames,175470,176666.634,177731.31399999998,178691.043,179535.211,180261.899,180908.979,181463.808
E08000034,Kirklees,438727,440338.473,441771.698,443087.859,444355.975,445538.29,446636.47799999994,447670.697
E08000011,Knowsley,149571,150332.81,151092.25699999998,151840.197,152587.839,153320.802,154027.652,154713.557
E09000022,Lambeth,325917,327939.689,329631.425,331045.149,332252.122,333219.495,333934.166,334421.707
E07000121,Lancaster,144246,145294.63,146126.8,146797.745,147416.284,148110.158,148842.707,149619.008
E08000035,Leeds,789194,792799.291,795564.63,797797.2540000001,799872.54,801993.7629999999,804218.554,806609.33
E06000016,Leicester,355218,358240.458,360557.18,362270.945,363689.77,365085.16799999995,366457.968,367889.854
E07000063,Lewes,102744,103343.99,103924.513,104489.231,105059.577,105616.213,106147.049,106649.576
E09000023,Lewisham,303536,306171.328,308582.38300000003,310816.13399999996,312865.387,314703.86,316327.94,317756.665
E07000194,Lichfield,103965,104414.779,104857.597,105293.263,105709.21,106072.631,106432.305,106748.839
E07000138,Lincoln,99039,99351.794,99548.313,99479.213,99398.061,99486.401,99696.651,100002.321
E08000012,Liverpool,494814,498949.685,502326.213,505151.866,507805.33200000005,510556.473,513382.889,516304.541
E12000007,London,8908081,8977524.740999999,9039389.763000002,9095459.212,9145214.459,9188317.576000003,9224542.005,9255002.424
E06000032,Luton,214109,213650.754,213099.36399999997,212478.045,211769.784,210986.86399999997,210130.407,209232.744
E07000110,Maidstone,169955,172044.569,174062.336,176013.155,177860.97699999998,179594.212,181252.66,182795.315
E07000074,Maldon,64425,64869.71,65304.918,65772.145,66218.817,66663.299,67064.51,67488.97
E07000235,Malvern Hills,78113,78892.954,79657.371,80420.478,81169.625,81893.66900000001,82591.259,83276.716
E08000003,Manchester,547627,551160.6579999999,553905.113,556049.8539999999,557869.725,559674.196,561481.786,563322.656
E07000174,Mansfield,108841,109575.143,110246.503,110889.997,111516.305,112120.063,112686.329,113210.664
E06000035,Medway,277855,278592.779,279309.858,280039.885,280753.762,281407.526,282048.657,282629.543
E07000133,Melton,51100,51185.568,51281.441,51382.636,51497.003,51607.702000000005,51724.739,51827.297
E09000024,Merton,206186,206290.483,206431.29100000003,206638.639,206822.407,206899.831,206899.16,206861.613
E07000042,Mid Devon,81695,82627.323,83532.945,84426.97,85289.603,86132.287,86944.875,87702.21
E07000203,Mid Suffolk,102493,103319.391,104152.749,104959.927,105723.6,106406.122,107069.35,107677.32
E07000228,Mid Sussex,149716,150740.848,151785.37099999998,152837.16199999998,153806.609,154758.58,155642.561,156462.867
E06000002,Middlesbrough,140545,140531.082,140422.666,140300.64800000002,140176.029,140036.616,139899.595,139762.043
E06000042,Milton Keynes,268607,269950.418,271238.098,272467.18,273556.785,274491.703,275286.613,275873.50399999996
E07000210,Mole Valley,87253,87111.511,87094.451,87108.55,87132.6,87139.052,87121.2,87101.222
E07000091,New Forest,179753,180158.296,180498.226,180845.961,181190.175,181520.049,181827.422,182111.12
E07000175,Newark and Sherwood,121566,122577.973,123532,124451.656,125361.77,126229.659,127063.859,127849.632
E08000021,Newcastle upon Tyne,300196,301748.459,302679.939,303213.357,303628.571,304154.446,304840.29,305736.49199999997
E07000195,Newcastle-under-Lyme,129490,130194.106,130791.679,131343.457,131894.25699999998,132445.443,132993.53,133541.06
E09000025,Newham,352005,355771.95200000005,358968.7,361725.627,364021.007,365900.316,367386.031,368553.095
E07000043,North Devon,96110,96929.123,97702.932,98479.561,99231.593,99944.883,100639.994,101307.451
E07000038,North East Derbyshire,101125,101625.772,102071.048,102520.727,102969.605,103400.985,103828.873,104230.364
E06000012,North East Lincolnshire,159821,159930.8,159996.204,160022.962,160025.334,160028.233,159951.241,159842.49300000002
E07000099,North Hertfordshire,133214,133647.613,134049.256,134478.698,134882.637,135225.922,135554.96,135850.603
E07000139,North Kesteven,115985,117182.76,118349.445,119477.185,120535.924,121528.698,122503.616,123410.119
E06000013,North Lincolnshire,172005,172606.754,173143.228,173668.008,174141.88199999998,174548.267,174881.342,175144.50100000002
E07000147,North Norfolk,104552,105193.053,105799.874,106421.138,107050.967,107673.159,108290.424,108893.401
E06000024,North Somerset,213919,215499.789,217015.236,218531.776,220040.837,221516.506,223011.462,224446.295
E08000022,North Tyneside,205985,207279.08399999997,208485.642,209709.087,210889.788,212003.674,213047.415,214017.741
E07000218,North Warwickshire,64850,65665.742,66439.664,67194.634,67917.94099999999,68616.84599999999,69267.304,69905.302
E07000134,North West Leicestershire,102126,103902.788,105669.11,107399.232,109074.711,110687.849,112296.824,113873.635
E06000057,Northumberland,320274,321606.54600000003,322852.216,324076.538,325272.327,326382.678,327445.945,328424.734
E07000148,Norwich,141137,142186.286,142790.32,143133.83,143413.94,143743.62699999998,144118.411,144570.376
E06000018,Nottingham,331069,332751.097,333962.493,334688.601,335336.807,336296.79600000003,337510.559,339025.18299999996
E07000219,Nuneaton and Bedworth,128902,129662.172,130405.906,131185.84699999998,131965.357,132732.861,133498.443,134244.804
E07000135,Oadby and Wigston,57056,57229.735,57250.024000000005,57335.523,57529.185,57790.001,58053.496,58351.117999999995
E08000004,Oldham,235623,237112.43,238525.377,239877.705,241176.379,242395.341,243494.67899999995,244538.831
E07000178,Oxford,154327,153766.857,152995.845,152088.454,151181.497,150424.47199999998,149820.419,149379.13
E07000122,Pendle,91405,91744.917,92040.503,92294.532,92530.655,92732.69,92898.337,93026.64
E06000031,Peterborough,201041,203477.874,205764.324,207889.525,209870.65,211687.974,213342.88600000003,214847.358
E06000026,Plymouth,263100,263804.233,264280.02,264552.077,264779.575,265104.702,265527.456,266038.29
E06000044,Portsmouth,215133,216210.533,216909.501,217336.151,217674.588,218084.754,218566.079,219125.48
E07000123,Preston,141818,142222.962,142619.697,142959.723,143267.891,143580.214,143934.939,144299.41
E06000038,Reading,163203,163833.719,164128.534,164240.364,164274.94199999998,164314.149,164345.658,164371.02300000002
E09000026,Redbridge,303858,304747.026,305598.688,306431.881,307218.854,307864.07,308383.082,308780.766
E06000003,Redcar and Cleveland,136718,137348.751,137879.233,138354.013,138803.41199999998,139201.378,139564.768,139860.277
E07000236,Redditch,84989,85062.638,85118.32400000001,85164.45,85198.621,85208.91699999999,85197.44,85173.32199999999
E07000211,Reigate and Banstead,147757,148876.198,149935.918,150963.286,151910.043,152788.917,153611.256,154320.152
E07000124,Ribble Valley,60057,60500.238,60953.837,61450.541,61907.68,62340.502,62745.816,63123.547999999995
E09000027,Richmond upon Thames,196904,197891.092,198842.54,199794.84,200621.528,201389.487,202016.478,202513.413
E08000005,Rochdale,220001,221726.463,223372.237,224985.012,226536.824,227975.625,229331.574,230606.325
E07000075,Rochford,86981,87620.761,88231.68199999999,88838.617,89426.105,89983.474,90547.949,91068.8
E07000125,Rossendale,70895,71403.366,71886.732,72363.774,72807.071,73247.582,73657.797,74035.085
E07000064,Rother,95656,96509.834,97303.852,98124.444,98935.287,99730.433,100473.484,101175.452
E08000018,Rotherham,264671,265970.765,267215.153,268484.865,269674.733,270840.14,271904.132,272899.067
E07000220,Rugby,107194,108200.468,109180.843,110169.177,111113.489,112014.836,112881.884,113691.123
E07000212,Runnymede,88000,88626.504,89095.67800000001,89429.43699999999,89711.30099999999,90008.59199999999,90311.994,90610.999
E07000176,Rushcliffe,117671,119017.632,120396.095,121752.8,123046.668,124297.071,125490.209,126612.264
E07000092,Rushmoor,95142,94862.138,94622.657,94385.42,94165.575,93935.264,93679.764,93415.023
E06000017,Rutland,39697,40012.805,40386.47,40770.518,41147.028,41511.447,41901.853,42277.018
E08000006,Salford,254408,257789.63,260803.53,263576.29,266117.353,268484.631,270690.946,272764.893
E08000028,Sandwell,327378,329626.627,331716.675,333730.57899999997,335605.893,337365.76700000005,339004.287,340529.989
E08000014,Sefton,275396,276116.31,276782.318,277521.044,278268.674,278984.278,279704.81,280410.294
E07000111,Sevenoaks,120293,120828.786,121414.926,121997.378,122584.527,123114.567,123563.953,123995.611
E08000019,Sheffield,582506,586489.865,589710.056,592466.464,595056.84,597747.0279999999,600501.754,603382.575
E06000051,Shropshire,320274,323513.903,326691.81899999996,329830.49199999997,332884.14,335872.36,338794.463,341642.278
E06000039,Slough,149112,149776.266,150353.294,150866.304,151286.065,151590.46300000002,151764.816,151821.005
E08000029,Solihull,214909,216297.052,217712.461,219138.861,220539.415,221879.185,223173.45899999997,224419.471
E07000012,South Cambridgeshire,157519,158395.06900000002,159204.51,159943.87099999998,160601.39,161192.141,161671.902,162053.266
E07000039,South Derbyshire,104493,106348.42,108163.675,109932.455,111631.737,113257.141,114818.63,116280.85
E06000025,South Gloucestershire,282644,286179.343,289477.95,292692.571,295892.87100000004,299071.74100000004,302180.142,305222.305
E07000044,South Hams,86221,86964.011,87705.508,88451.37,89168.427,89867.6,90551.43,91177.151
E07000140,South Holland,93980,94965.231,95886.027,96793.416,97663.027,98502.067,99296.197,100043.202
E07000141,South Kesteven,141853,142562.26,143346.62699999998,144113.826,144893.091,145637.242,146359.348,147014.549
E07000149,South Norfolk,138017,140395.794,142704.479,145007.457,147220.49800000002,149335.048,151369.417,153289.228
E07000179,South Oxfordshire,140504,141173.628,141881.345,142582.577,143246.72199999998,143828.751,144323.739,144718.03
E07000126,South Ribble,110527,110792.812,111051.125,111306.617,111550.238,111758.121,111987.497,112176.07
E07000196,South Staffordshire,112126,112435.411,112756.627,113109.294,113452.22,113790.089,114125.788,114449.293
E08000023,South Tyneside,150265,150849.268,151394.044,151935.716,152433.454,152908.087,153366.725,153796.316
E06000045,Southampton,252796,254249.87,255382.97,256186.468,256901.204,257689.701,258544.204,259471.361
E06000033,Southend-on-Sea,182463,183701.907,184881.677,186062.075,187211.401,188326.507,189404.13600000003,190423.683
E09000028,Southwark,317256,320999.721,324163.553,326899,329326.025,331488.817,333364.696,335020.309
E07000213,Spelthorne,99334,99591.832,99813,100051.683,100237.244,100396.855,100518.262,100605.427
E07000240,St Albans,147373,147597.122,147895.302,148256.138,148551.16,148724.862,148834.175,148813.549
E08000013,St. Helens,180049,180871.421,181622.331,182369.515,183099.32,183761.653,184391.07100000005,184977.01
E07000197,Stafford,135880,137003.473,138122.291,139285.99,140414.95,141497.673,142518.72,143493.608
E07000198,Staffordshire Moorlands,98397,98565.538,98722.885,98894.031,99058.859,99208.873,99345.327,99483.673
E07000243,Stevenage,87754,87988.40800000001,88214.186,88427.354,88609.81599999999,88775.308,88914.26400000001,89023.021
E08000007,Stockport,291775,292905.938,294053.047,295261.148,296472.395,297592.25399999996,298648.832,299643.61199999996
E06000004,Stockton-on-Tees,197213,197772.464,198252.533,198706.173,199116.772,199464.687,199756.879,199978.124
E06000021,Stoke-on-Trent,255833,256959.695,257871.066,258695.413,259418.23899999997,260092.783,260757.30399999995,261387.51100000003
E07000221,Stratford-on-Avon,127580,129581.297,131535.552,133480.274,135381.18099999998,137192.576,138953.259,140641.916
E07000082,Stroud,119019,119845.655,120684.97,121526.222,122355.132,123169.631,123972.786,124737.578
E08000024,Sunderland,277417,277523.265,277539.63899999997,277576.28,277591.30600000004,277574.768,277522.044,277445.271
E07000214,Surrey Heath,88874,88918.685,88982.784,89002.995,89005.868,88966.67599999999,88914.954,88833.147
E09000029,Sutton,204525,205709.653,206866.147,208026.595,209071.094,209983.643,210804.86,211510.421
E07000113,Swale,148519,150285.584,151965.25199999998,153595.61,155156.331,156626.163,158008.111,159307.513
E06000030,Swindon,221996,223721.975,225353.104,226911.099,228383.479,229761.772,231026.698,232191.267
E08000008,Tameside,225197,226419.573,227556.01100000003,228652.621,229691.193,230652.055,231592.379,232462.857
E07000199,Tamworth,76678,76563.313,76454.381,76376.857,76306.62299999999,76230.516,76166.663,76106.515
E07000215,Tandridge,87496,87877.05,88284.74,88711.016,89104.95800000001,89478.523,89829.44300000001,90145.237
E07000045,Teignbridge,132844,134363.488,135846.051,137336.019,138808.061,140244.856,141627.941,142968.747
E06000020,Telford and Wrekin,177799,179848.14800000002,181769.412,183627.031,185429.013,187165.765,188825.958,190418.565
E07000076,Tendring,145803,147249.616,148624.313,150001.987,151370.082,152694.37900000002,154015.211,155297.422
E07000093,Test Valley,125169,126313.239,127424.645,128497.064,129505.738,130435.815,131301.122,132110.057
E07000083,Tewkesbury,92599,94481.476,96277.154,98009.663,99657.243,101213.095,102689.521,104079.727
E07000114,Thanet,141819,142591.43,143349.24300000002,144126.293,144896.52599999998,145662.126,146390.427,147082.543
E07000102,Three Rivers,93045,93082.918,93152.204,93313.768,93405.403,93457.079,93500.471,93501.642
E06000034,Thurrock,172525,174599.97,176624.479,178562.66600000003,180398.95,182129.335,183737.19,185246.914
E07000115,Tonbridge and Malling,130508,131884.361,133233.303,134559.83,135859.59900000002,137110.89800000002,138329.765,139457.18300000002
E06000027,Torbay,135780,136645.77,137496.08800000002,138340.571,139169.61,139983.69,140766.583,141538.601
E07000046,Torridge,68143,68756.848,69351.799,69942.054,70502.519,71063.03,71608.30900000001,72127.47200000001
E09000030,Tower Hamlets,317705,325267.847,332100.63399999996,338239.245,343804.14,348804.249,353274.598,357298.723
E08000009,Trafford,236370,237568.266,238813.04,240056.879,241250.413,242380.98100000003,243385.819,244303.421
E07000116,Tunbridge Wells,118054,118407.996,118847.81,119315.107,119766.938,120153.262,120547.361,120879.444
E07000077,Uttlesford,89179,90416.615,91604.156,92720.337,93809.419,94845.854,95853.95,96781.201
E07000180,Vale of White Horse,133732,136048.115,138229.416,140288.975,142219.97699999998,143968.22400000002,145592.794,147104.563
E08000036,Wakefield,345038,349093.145,352982.979,356817.66,360522.61,364027.904,367401.636,370622.556
E08000030,Walsall,283378,285494.327,287476.248,289405.489,291294.356,293095.17600000004,294827.005,296483.61
E09000031,Waltham Forest,276700,278615.721,280315.568,281829.463,283107.789,284173.594,285009.182,285653.328
E09000032,Wandsworth,326474,329510.07,331970.477,334047.538,335885.88899999997,337450.79299999995,338746.929,339794.984
E06000007,Warrington,209547,210109.176,210624.605,211118.415,211589.849,212008.426,212372.888,212702.545
E07000222,Warwick,142484,143213.264,144061.561,144891.552,145810.582,146794.418,147806.10199999998,148796.255
E07000103,Watford,96767,96931.479,97076.894,97213.945,97296.939,97349.772,97363.636,97326.675
E07000216,Waverley,125610,125861.42,126137.125,126450.59,126746.952,126983.834,127218.776,127401.238
E07000065,Wealden,160175,161339.357,162446.62,163533.784,164578.146,165566.24300000002,166548.564,167457.163
E07000241,Welwyn Hatfield,122746,123756.387,124584.727,125266.081,125882.601,126473.735,127068.833,127668.53
E06000037,West Berkshire,158527,158453.46,158474.27599999998,158531.985,158536.87099999998,158525.26,158517.582,158455.138
E07000047,West Devon,55528,55893.10400000001,56248.723,56594.083,56942.022,57268.983,57592.95,57892.795999999995
E07000127,West Lancashire,113949,114253.37,114479.053,114630.095,114812.235,115032.17,115286.389,115552.748
E07000142,West Lindsey,94869,95398.893,95898.267,96405.133,96894.605,97347.327,97782.308,98191.445
E07000181,West Oxfordshire,109800,110417.607,111060.275,111658.287,112213.495,112730.315,113223.998,113689.364
E09000033,Westminster,255324,260017.169,264039.048,267521.042,270568.365,273148.664,275253.643,276986.34
