,,Mid-2010 to Mid-2011,,,,,Mid-2011 to Mid-2012,,,,,Mid-2012 to Mid-2013,,,,,Mid-2013 to Mid-2014,,,,,Mid-2014 to Mid-2015,,,,,Mid-2015 to Mid-2016,,,,,Mid-2016 to Mid-2017,,,,,Mid-2017 to Mid-2018,,,,,Mid-2018 to Mid-2019,,,,,Mid-2019 to Mid-2020,,,,
E07000143,Breckland,131009,831,329,5956,5410,131857,889,331,6038,5647,132995,748,303,6412,5714,134287,808,217,6580,6015,135698,858,263,6926,6010,137123,800,377,6956,5684,138602,757,443,7726,6476,139329,698,572,7612,6568,139968,635,537,7609,6611,141255,582,444,7088,5450
E09000005,Brent,312245,8829,3110,16855,21200,314593,8027,5230,17621,21812,317112,8323,4394,17319,22241,320101,11257,5041,17393,24325,323443,11727,3997,17595,25334,326427,11598,4193,18066,26022,329102,10765,4740,22152,28954,330795,9182,3816,23410,30207,329771,8801,5608,24533,31882,327753,8367,5030,21392,29427
E07000068,Brentwood,73841,288,253,3946,3550,74142,236,228,4038,3813,74734,226,119,4017,3687,75914,302,169,4805,3843,76403,358,148,4325,4126,76769,336,206,4285,4154,76575,309,185,4383,4785,76550,298,198,4532,4674,77021,280,162,4994,4787,77242,257,89,4116,4087
W06000013,Bridgend / Pen-y-bont ar Ogwr,139410,204,230,3704,3475,139769,237,261,3886,3717,140536,225,121,4214,3564,141287,366,217,4198,3722,142259,310,188,4319,3653,143408,427,156,4656,3803,144288,404,202,4741,4006,144876,274,198,4815,4055,147049,258,175,5796,3498,147539,276,143,4024,3258
E06000043,Brighton and Hove,272952,5463,3940,17682,18111,275724,5851,3257,18843,19756,277991,5583,2955,17710,19040,280650,6019,2681,18356,20079,284073,6220,2820,19195,20030,287173,5806,2865,19601,20288,288155,5309,3405,21242,22633,290395,6039,3845,22218,22617,290885,5891,4097,22453,24061,291738,6661,4471,20682,22224
E06000023,"Bristol, City of",428074,5982,3997,25190,24938,433043,5121,4007,27281,27077,438386,5789,3856,26857,26724,443791,6419,4774,28539,27874,450640,7280,4795,29347,28045,455966,7240,6153,29474,28380,459252,6389,6106,33834,33625,463405,7523,5411,34685,35098,463377,7071,8646,36391,37107,465866,7380,6628,33092,33282
E07000144,Broadland,124740,254,99,5823,5565,125173,215,152,6342,5809,125499,202,141,6200,5683,125956,216,80,6539,5942,126626,224,104,6572,5643,127402,232,156,6595,5514,128535,199,143,7873,6467,129464,225,159,7684,6417,130783,193,89,7910,6373,131931,173,83,7088,5563
E09000006,Bromley,310554,1599,732,14851,14284,314039,1446,973,16692,15225,318167,1338,736,17034,14988,321602,1694,904,18140,16971,325303,1815,898,18177,16835,327580,1936,936,17371,17827,329391,1640,1059,18726,19061,331096,1797,887,18616,19276,332336,1540,1011,19250,19884,332752,1448,1031,17032,17993
E07000234,Bromsgrove,93732,229,252,4431,4010,94281,170,132,4886,4144,94806,175,86,4862,4075,95519,178,123,5268,4631,95800,188,93,5190,4727,96770,174,86,5479,4485,97594,154,92,6192,5214,98662,254,104,6407,5304,99881,232,109,6460,5140,100569,235,82,5292,4287
E07000095,Broxbourne,93702,383,292,4074,4256,94595,314,292,4730,4462,95107,364,254,4477,4582,95837,412,226,4901,4916,96311,455,172,4901,5260,96881,535,319,4822,4981,96762,448,344,5329,6033,96876,447,451,5598,5960,97279,426,358,5978,6047,97592,377,278,5115,5137
E07000172,Broxtowe,109749,854,419,6339,6254,110568,679,489,6941,6630,111077,646,405,6731,6708,111534,594,343,7219,7215,111837,642,340,7177,7191,112116,635,341,6799,7024,112718,571,308,8047,7686,113272,669,535,8347,7860,114033,666,341,8724,8172,114627,750,242,7824,7502
E06000060,Buckinghamshire,506550,3810,3404,21272,20303,510983,2894,3057,:,:,515533,2823,2603,23977,21761,520900,3406,2214,25007,22920,527114,3966,2484,25781,22856,533056,4047,2324,24682,22843,535918,3482,2459,27602,27394,540059,4264,2663,28057,27061,543973,3949,3062,29075,27458,547060,4094,3402,26119,24657
E07000117,Burnley,87032,268,237,3058,3329,87091,186,166,3352,3577,86829,182,197,3174,3686,87194,289,211,3644,3681,87262,262,146,3311,3538,87496,389,211,3274,3544,87705,288,268,3803,3890,88527,800,228,3660,3603,88920,492,138,3844,4018,89344,427,286,3615,3437
E08000002,Bury,185422,921,672,6752,6951,186150,727,551,7100,7411,186468,667,580,6908,7316,187287,818,638,7318,7395,187788,896,601,7386,7741,188503,1117,640,7189,7478,189628,898,621,8679,8265,190108,865,639,8415,8584,190990,957,302,8746,9113,190708,775,411,6790,7665
W06000018,Caerphilly / Caerffili,178782,122,192,3916,4261,179014,143,197,4542,4640,179230,148,115,4507,4599,179933,184,129,4808,4570,180168,178,126,4734,4763,180453,179,93,4636,4782,180795,171,152,4922,4687,181019,166,163,5167,5100,181075,135,122,5058,4986,181731,120,100,4935,4068
E08000033,Calderdale,204170,765,511,6577,6302,205200,693,457,6792,6812,206136,644,450,6820,6819,207042,768,488,6848,6921,207832,659,348,6732,6847,209069,744,333,7127,6812,209454,765,340,7800,8264,210082,740,255,7973,8154,211455,745,282,8872,8258,211439,691,207,6866,7495
E07000008,Cambridge,122725,4583,3418,12771,13684,122601,4749,5260,12997,13233,123024,3986,3340,12575,13257,123735,4209,3293,12862,13774,125105,4455,2978,13758,14369,124635,4404,3930,13448,14928,124919,4019,3593,15622,16285,125758,5764,4566,16241,17105,124798,5354,5147,16358,18070,125063,6046,4215,14772,16740
E09000007,Camden,220087,13788,6346,20005,21907,224809,11946,6918,20400,22698,230486,11010,5346,20254,21990,236022,12531,5829,20976,23766,243837,14501,5393,20770,23687,249162,12775,5947,20300,23452,253361,11815,6140,22189,25132,262226,16404,5475,22670,26066,270029,16514,7265,24141,27036,279516,20044,7827,21052,24804
E07000192,Cannock Chase,97582,166,110,3381,3404,97932,100,64,3490,3490,98106,99,80,3424,3653,98508,147,73,3632,3641,98490,172,71,3350,3623,98513,225,77,3512,3784,99126,169,58,4457,4106,100109,207,81,4663,3913,100762,181,93,4698,4287,101484,183,53,4059,3560
E07000106,Canterbury,150600,2696,1340,11373,10491,153223,2459,1125,12267,10982,154941,1727,1024,12535,11031,157044,2245,1035,12939,11749,159663,2736,890,12797,11650,162502,2716,875,12634,11460,164100,2284,887,13936,13410,164553,2345,1079,13545,13993,165394,2609,1083,14136,14436,166762,2953,1763,13196,12560
W06000015,Cardiff / Caerdydd,345442,4699,4175,19765,18793,348724,4256,4466,20837,19492,352146,4723,2284,19488,20249,354829,5248,3345,19849,21102,357496,5760,4026,20267,20986,361168,5343,2591,20099,21019,362756,4987,3501,21626,22913,364248,5903,3994,21838,23334,366903,6384,3731,22910,24012,369202,7196,3613,20962,22958
E07000028,Carlisle,107475,353,271,3596,3542,107925,305,353,3856,3598,107992,299,275,3573,3575,108059,333,410,3808,3909,108109,362,416,3673,3618,108388,374,368,3638,3536,108274,343,497,4013,3871,108387,422,450,4176,3881,108678,386,283,4103,3868,108524,357,330,3504,3313
W06000010,Carmarthenshire / Sir Gaerfyrddin,183961,331,259,6023,5196,184332,470,437,6473,6001,184669,517,209,6220,5881,184968,602,320,6286,6078,185247,539,363,6318,5768,185754,487,231,6702,6080,186452,525,362,6931,6047,187568,500,330,7241,5672,188771,431,265,7409,5919,190073,394,207,6609,4847
E07000069,Castle Point,87964,143,130,3583,3547,88219,110,72,3958,3593,88594,94,64,3935,3442,88912,143,47,4151,3801,89184,142,55,4028,3641,89752,161,75,4267,3612,89814,130,50,4333,4156,90070,128,53,4558,4172,90376,111,49,4471,3986,90524,101,34,3968,3562
N09000004,Causeway Coast and Glens,140907,738,805,3964,3912,141434,682,753,3965,4030,141699,639,775,4393,4517,142303,632,678,4478,4506,143148,640,708,4351,4335,143525,650,907,4661,4679,143920,510,678,4682,4726,144246,379,453,4557,4681,144838,414,493,4618,4318,144943,385,543,3867,4257
E06000056,Central Bedfordshire,255644,2150,772,12518,11203,259591,1496,938,14022,12033,263793,1601,927,14144,11913,267846,1718,815,14773,12941,272421,1983,847,14968,12621,276731,1765,1192,15116,12748,280030,1657,1165,16374,14845,283606,1879,1276,16944,14906,288648,1905,1203,17659,14588,294096,2145,981,15667,12147
W06000008,Ceredigion / Ceredigeon,75293,620,553,5685,5538,75932,628,546,6467,5799,75789,618,247,5676,6040,75133,563,445,5342,6076,74211,593,450,5068,5952,73665,553,261,4969,5641,73076,533,434,5503,5964,72992,843,343,5274,5632,72695,721,346,5318,5695,72895,817,310,4728,4678
E07000130,Charnwood,165876,2026,817,10539,10097,168370,1607,892,11376,10059,169993,1444,737,10652,10117,172548,1641,644,11738,10515,175167,1632,743,11298,10005,177378,1592,731,11401,10511,180387,1469,590,14236,12373,182643,1791,1018,14268,13136,185851,1892,771,15749,13881,188416,2248,581,13568,12808
E07000070,Chelmsford,168491,838,731,7709,7485,169379,851,544,7701,7777,170311,707,501,7820,7531,171590,825,449,8217,8103,172719,1058,422,8321,8284,174197,1012,610,8686,8223,176194,885,643,10596,9352,177079,1001,778,9715,9371,178388,918,625,10759,10091,179549,909,518,9636,8877
E07000078,Cheltenham,115645,1175,612,6975,7242,116058,1033,916,7280,7403,115788,816,899,6996,7531,116379,999,1012,7667,7473,116592,1007,899,7468,7573,117217,1028,975,7727,7308,117128,904,907,8742,8927,117090,1096,947,8612,8868,116306,1036,1411,8629,9110,116043,1068,778,7758,8190
E07000177,Cherwell,142252,821,391,6462,6778,142936,794,672,6949,7212,143822,816,614,6822,6967,144520,1019,605,7388,7393,145554,1126,699,7273,7518,146635,1256,693,7068,7360,147602,1054,936,8681,8397,149161,1284,1011,8967,8201,150503,1097,1229,9178,8181,151846,1004,1347,8310,6962
E06000049,Cheshire East,370736,1438,1199,13603,12720,372383,1191,985,14506,13600,373006,1295,1292,13643,13239,374606,1415,1475,14817,13458,375722,1637,1484,14873,13840,377303,1749,1434,14810,13687,378846,1515,1652,16818,15036,380790,1540,1662,17278,14829,384152,1392,1001,18034,14703,386667,1240,1267,16066,12537
E06000050,Cheshire West and Chester,329526,1301,1560,12018,12246,330224,971,986,13064,12863,331069,1192,1198,12924,12384,332272,1475,1257,13942,13555,333949,1496,1231,14322,13097,335724,1370,1049,14332,13002,337986,1402,1473,16610,14281,340502,1501,1385,17405,15043,343071,1362,779,17308,15290,343823,1351,1085,14549,13564
E07000034,Chesterfield,103788,214,132,3528,3518,103788,146,124,3389,3568,104066,146,102,3600,3384,104331,199,73,3557,3534,104463,215,100,3630,3516,104527,227,83,3586,3589,104579,217,72,4556,4525,104628,190,135,4661,4423,104900,180,97,4791,4471,104930,186,76,4141,3992
E07000225,Chichester,113995,627,568,7005,6310,114899,844,539,7423,6648,115800,735,484,7417,6558,116261,786,425,7830,7121,117784,796,408,7964,6791,119125,849,406,7903,6658,120192,766,468,9085,7836,120750,854,523,8594,7940,121129,782,575,8562,8019,121508,738,684,8014,7046
E07000118,Chorley,107591,390,267,4754,3918,109075,266,147,5179,4088,110531,266,157,5253,4138,111623,221,162,5181,4289,112963,241,155,5441,4485,114266,201,158,5429,4461,115772,212,203,6083,4676,116821,245,198,5950,4853,118216,248,88,6303,5117,118870,227,132,5357,4398
S12000036,City of Edinburgh,477940,11219,3142,18681,18714,482630,9306,5248,19531,19623,487460,7251,5298,20583,19538,492610,8462,5188,20977,20955,498810,9650,3601,21786,21574,507170,10467,3676,21920,21052,513210,8538,4030,21672,21092,518500,9000,4690,21730,21410,524930,10990,4280,21540,22340,527620,11450,7200,18670,20030
E09000001,City of London,7412,899,483,884,857,6612,698,1482,856,894,6031,624,1097,628,821,6139,698,780,906,768,6687,941,416,802,809,7246,927,323,745,809,7654,756,441,856,792,8706,1460,362,931,1011,9721,1232,388,1116,971,10938,1433,192,879,915
S12000005,Clackmannanshire,51500,104,98,1421,1435,51280,116,165,1366,1573,51280,74,108,1528,1553,51190,128,154,1605,1661,51360,98,102,1762,1616,51350,157,94,1600,1651,51450,173,134,1702,1620,51400,110,140,1630,1630,51540,140,90,1600,1490,51290,120,130,1430,1310
E07000071,Colchester,173614,2337,1317,9031,8554,176185,1790,1134,9746,8621,177993,1908,1025,9119,8972,180973,1938,994,10209,9318,184916,2519,772,10788,9407,187633,2350,1180,10555,9706,190098,1990,1045,12188,11278,192523,2303,1357,12740,11809,194706,2293,1424,12739,11931,197200,2613,1335,12039,11435
W06000003,Conwy / Conwy,115326,230,385,4714,4030,115553,300,315,4952,4339,115912,277,161,4685,4075,116420,293,220,4927,4122,116450,312,248,4650,4203,116820,270,138,4793,4167,116863,258,183,4793,4321,117181,285,195,4970,4204,117203,252,159,4835,4353,118184,235,131,4836,3372
E07000029,Copeland,70627,162,77,1706,1860,70309,95,116,1626,1947,70052,87,106,1683,1914,69866,92,96,1789,1942,69688,95,76,1792,1892,69306,73,56,1696,2083,68689,74,76,1792,1980,68424,129,77,1780,1910,68183,76,36,1889,2028,68041,85,45,1712,1680
E06000052,Cornwall,533760,2211,1441,20446,16214,538249,1740,1047,21166,17418,541738,1914,1452,20062,16975,545961,2049,1474,21455,17641,550283,2174,1671,21459,16954,555057,2179,1721,21364,16478,561349,1984,1853,25639,18547,565968,2233,1491,24842,19405,569578,1960,2513,25172,19645,573299,1927,1594,22685,17750
E07000079,Cotswold,83180,433,302,5369,4725,83624,409,363,5395,4918,84266,399,346,5491,4821,84920,432,324,5911,5319,85548,502,350,5966,5253,86121,489,408,5803,5206,87509,442,369,7204,5742,89022,526,278,6907,5451,89862,464,533,6818,5808,90264,456,328,5898,5364
E06000047,County Durham,512994,2323,1253,15772,15517,514261,1856,1129,16040,16084,515923,1862,786,16290,15697,517573,2198,1424,16926,16232,519347,2281,1373,17154,15964,521776,2168,937,17232,15935,523662,2352,1415,20289,18822,526980,2828,637,21282,19413,530094,2695,927,22711,20737,533149,3135,707,21848,19221
E08000026,Coventry,316915,9043,3837,14802,15576,322504,7050,2576,16392,17384,328423,7330,2737,15671,16267,335018,8043,3105,16912,17176,344288,10757,2845,16774,17153,353215,10416,2764,17042,17543,360149,8674,2368,20125,21139,366785,10999,3369,21097,23370,371521,11126,3549,21341,25582,379387,12782,3002,20689,23725
E07000163,Craven,55459,182,191,2488,2273,55492,162,161,2583,2463,55594,158,123,2679,2446,55750,180,175,2785,2494,55826,175,124,2789,2578,56343,163,80,2992,2346,56604,193,100,3267,2879,56832,183,75,3192,2882,57142,149,88,3388,2962,57338,146,53,2974,2569
E07000226,Crawley,107053,1036,401,4197,4093,108234,1058,746,4463,4562,108953,1024,580,4289,4887,109874,1265,513,4177,4954,110887,1375,515,4308,5081,111546,1581,565,4041,5287,111664,1212,678,4442,5657,112448,1382,826,4976,5496,112409,1125,863,4953,6078,112474,1059,1082,4524,5107
E09000008,Croydon,364815,4197,2204,18492,18351,369189,3548,1779,19442,20196,373628,3293,1586,19199,19823,377073,4236,1881,19983,22345,380070,4495,2050,20355,22960,383301,4674,2127,20656,23458,384837,4008,2385,23076,26490,385346,3790,1936,22897,27263,386710,3581,2295,24761,27542,388563,3357,2448,22865,24314
E07000096,Dacorum,145298,737,694,6621,6106,146728,594,603,7381,6624,148075,576,514,7256,6596,149515,700,356,7602,7332,151069,860,389,7541,7393,152445,975,521,7984,7757,153316,799,471,8571,8652,154280,914,615,8212,8283,154763,834,654,8445,8677,155457,800,653,7635,7484
E06000005,Darlington,105584,326,319,3484,3708,105503,252,310,3565,3943,105726,238,235,3627,3653,105877,275,335,3780,3758,105998,397,356,3743,3779,106327,335,181,3712,3652,106347,358,351,4198,4152,106566,355,186,4223,4172,106803,327,253,4562,4321,107402,350,205,4383,3694
E07000107,Dartford,97604,469,289,4974,4726,98851,402,314,5946,5438,100399,430,285,5992,5186,102010,514,214,6254,5674,103531,520,252,6506,5829,105117,613,273,6629,5961,107516,526,329,8005,6452,109709,495,379,8209,6853,112606,454,322,8985,7003,114051,414,452,7115,6328
W06000004,Denbighshire / Sir Ddinbych,93919,161,213,4206,4069,94053,197,255,4664,4422,94518,188,109,4527,4030,94837,201,143,4714,4361,94836,234,145,4340,4271,94984,217,105,4394,4201,95159,203,148,4346,4000,95330,336,178,4358,4052,95696,302,143,4577,4099,96664,292,107,4565,3379
E06000015,Derby,248943,1962,1015,9774,10254,250582,1578,1327,10877,11163,251312,1807,1297,10246,11386,252313,1994,1045,10721,12000,253875,2178,1175,10942,11577,256203,2464,1086,10827,10967,257034,2115,1066,12702,13893,257174,2520,1947,13140,14252,257302,2373,1353,13148,14814,256814,2268,844,11701,13875
E07000035,Derbyshire Dales,71104,160,195,3183,2925,71386,149,124,3007,2608,71372,135,121,2912,2750,71420,149,64,3117,2888,71301,143,66,3136,2867,71477,141,77,3192,2863,71849,146,72,3978,3438,71977,150,113,3876,3484,72325,148,72,4167,3589,72422,123,49,3620,3077
N09000005,Derry City and Strabane,148191,672,1134,2529,2892,148619,737,1048,2792,3159,148632,643,979,2913,3475,149198,683,885,3104,3600,149473,569,792,3057,3092,150142,618,693,3338,3842,150497,468,655,3656,4002,150679,441,552,3535,4029,151284,589,566,3795,3995,151109,472,583,3340,3960
E08000017,Doncaster,302468,1052,536,7014,8034,302920,957,643,7587,8590,303693,1061,644,7766,8107,304398,1397,703,7928,8677,305496,1932,586,7562,8319,307374,2166,715,8074,8132,308940,1776,879,9406,9275,310542,1756,873,9871,9366,311890,1665,1038,10403,9827,312785,1412,668,9144,8656
E06000059,Dorset,365897,1138,1037,16720,14790,366966,1140,879,16910,15147,368555,1039,796,17222,15121,369485,1267,855,18123,15813,371636,1314,739,18110,15406,373288,1235,738,17564,15373,375051,1156,693,19777,17125,376484,1366,587,19753,17001,378508,1172,937,19853,16743,379791,1114,689,17017,14278
E07000108,Dover,111718,483,365,4092,3878,111798,492,425,4479,4497,112490,461,272,4757,4354,113292,526,284,4852,4203,113446,462,248,4576,4411,114572,443,226,4893,3917,115803,435,291,5440,4102,116969,447,338,5552,4314,118131,374,289,5727,4455,118514,373,383,4649,3958
E08000027,Dudley,313261,859,514,8335,9017,313570,556,327,8933,9818,314357,497,410,9155,9227,315653,645,401,9605,9575,316331,825,447,9300,9406,317558,928,394,9328,9299,319419,764,337,12042,11258,320626,869,506,11764,11289,321596,854,472,12169,11845,322363,729,358,10055,9593
S12000006,Dumfries and Galloway,151410,358,343,3644,3282,150840,244,524,3591,3439,150280,200,535,3781,3452,149960,212,479,3835,3234,149670,281,353,3647,3245,149520,340,328,3544,3162,149200,239,356,3767,3328,148790,260,440,3760,3200,148860,270,380,3950,3110,148290,280,610,3270,2600
S12000042,Dundee City,147200,2250,674,5139,5288,147780,1583,1018,5370,5443,148100,1374,1054,5697,5708,148130,1276,1021,5581,5848,148210,1388,717,5631,6093,148270,1439,637,5433,6058,148710,1181,785,5791,5599,148750,1320,750,5610,5820,149320,1600,670,5720,5830,148820,1550,1160,4820,5290
E09000009,Ealing,339314,9626,5099,20536,24519,340332,7248,5850,21035,25236,342108,6946,4617,20260,24664,342997,8221,4658,20278,26669,344285,8549,4197,20030,26503,344802,8788,4755,20224,27026,342736,7866,5798,23651,31112,341982,7303,3740,24759,32000,341806,7334,4820,26665,32257,340341,7004,5331,22994,28332
S12000008,East Ayrshire,122690,116,182,2992,2896,122730,113,246,2966,2909,122430,78,239,3030,2989,122130,94,268,3155,3071,122060,90,181,3262,3109,122200,114,152,3272,3083,121940,106,194,3243,3137,121840,110,210,3300,2960,122010,110,190,3410,2890,121600,100,290,2670,2440
E07000009,East Cambridgeshire,84245,668,358,4279,3797,85220,592,443,4670,4208,85942,581,298,4262,4045,87045,656,249,4395,4274,87783,611,225,4375,4369,88189,625,380,4220,4240,88858,589,366,4795,4751,89362,729,574,4929,4648,89840,587,594,4991,4607,90172,578,560,4533,3924
E07000040,East Devon,133272,423,243,6412,5434,134430,383,206,7080,5615,135046,334,221,6976,5730,136518,397,268,7878,5802,138380,413,186,8243,5877,140271,428,294,8316,5848,142265,397,251,9285,6665,144317,435,192,9103,6559,146284,364,256,9210,6804,148080,336,239,8194,5769
S12000045,East Dunbartonshire,105000,160,233,2893,2925,105880,111,202,3321,2970,105840,77,199,3435,3221,106710,102,210,3945,2928,106960,105,218,4092,3430,107540,186,136,4010,3354,108130,141,155,3911,3209,108330,100,240,3870,3360,108640,130,150,3730,3290,108750,160,190,3270,2640
E07000085,East Hampshire,116010,476,383,6248,5881,116574,364,366,6573,6186,117401,366,348,6525,5669,117985,427,234,6786,6345,118694,459,248,6872,6141,118705,448,241,6777,6291,119392,407,263,7550,6881,120681,454,263,7716,6428,122308,412,271,8210,6595,123838,361,335,7207,5569
E07000242,East Hertfordshire,138155,701,486,7375,6871,139405,603,451,7685,7227,140932,651,409,7991,7168,142781,780,306,8444,7738,144488,832,189,8133,7582,146130,905,346,8096,7613,147080,778,443,8724,8708,148105,885,509,8759,8500,149748,781,502,9572,8566,151786,746,497,8559,7071
E07000137,East Lindsey,136683,361,287,6735,6109,136651,386,177,7001,6687,136799,332,190,6778,6205,137722,351,143,7442,6277,138068,387,113,7092,6380,138743,363,122,6947,5863,139718,337,135,8342,6798,140741,350,215,8333,6581,141727,308,126,8575,6956,142030,296,92,7006,5846
S12000010,East Lothian,99920,428,262,3225,2946,100860,407,291,3612,2941,101390,252,304,3523,2950,102090,341,310,3794,3113,103050,412,255,3925,3121,104090,455,166,3550,2879,104840,345,244,3812,3113,105790,420,250,4080,3100,107090,480,260,4080,3030,107900,400,400,3810,2830
S12000011,East Renfrewshire,90810,134,161,3002,2705,91040,76,234,3216,2869,91530,88,196,3577,2930,92410,125,178,3698,2755,92940,127,210,3816,3106,93810,179,128,3897,3129,94760,128,136,3893,2927,95170,100,180,3690,3090,95530,150,130,3430,3080,96060,140,180,3350,2570
E06000011,East Riding of Yorkshire,334673,1055,394,13751,12199,335901,792,494,14769,13462,336072,806,551,14093,13374,337242,971,644,15093,13792,336756,931,597,13993,13799,337804,885,653,14713,13043,338061,890,790,15977,14774,339614,923,544,16381,13876,341173,776,574,16340,13906,343201,725,373,15103,12172
E07000193,East Staffordshire,113858,614,262,4407,4389,114487,547,226,4227,4442,114940,579,341,4417,4485,115720,675,293,4431,4537,116196,940,353,4245,4684,116937,1013,373,4176,4428,117552,825,358,5163,5190,118574,968,572,5362,5035,119754,785,397,5700,5186,120923,720,278,5154,4506
E07000244,East Suffolk,239946,767,654,8972,8336,240392,760,460,9370,8811,241426,559,425,9677,8214,242179,701,345,9956,8686,243264,837,330,10035,8682,245003,790,437,10341,8402,246913,711,454,11822,9386,248249,752,592,11638,9462,249461,706,487,11503,9569,250373,678,461,10417,8331
E07000061,Eastbourne,99308,686,752,5697,4856,99901,632,630,6158,5538,100363,641,516,5804,5260,101340,701,435,6247,5448,102204,693,368,6155,5383,103003,804,338,5913,5373,103251,673,383,6228,5982,103160,741,473,6075,6009,103745,735,398,6482,5863,103324,690,378,5351,5688
E07000086,Eastleigh,125852,398,319,6202,5504,126759,274,259,6703,6388,127759,264,237,6162,5727,128867,338,209,6404,6037,128977,315,228,5941,6392,129546,350,248,6329,6308,130498,307,281,7531,7004,131819,311,264,7852,6814,133584,272,186,8451,7133,135520,262,251,7417,5741
E07000030,Eden,52502,158,148,1933,2011,52687,160,115,2290,2063,52657,143,146,2199,2158,52649,164,185,2347,2274,52576,194,158,2188,2152,52642,194,149,2265,2123,52779,185,173,2461,2181,52881,188,193,2433,2156,53253,178,93,2574,2161,53754,138,103,2392,1764
E07000207,Elmbridge,131428,969,1661,8107,7679,132184,872,1242,8450,8119,133499,817,934,8037,7324,134833,992,684,8556,8370,135398,1069,693,7826,8264,136085,1080,552,7660,8195,136379,966,740,8379,8887,136626,993,760,8502,8898,136795,942,971,8844,9055,137215,854,1234,8445,7987
E09000010,Enfield,313935,3836,1169,16443,15926,317257,3254,1409,15999,17619,320317,3037,1291,16223,17899,324409,4291,1257,17155,19047,328738,4813,1175,17473,19550,332127,5142,1317,16821,20234,332705,4524,1471,18216,23534,333869,4332,1262,18250,22888,333794,4108,1606,18388,23461,333587,3875,1759,15685,19931
E07000072,Epping Forest,124880,527,367,6647,6250,125997,450,409,7349,6723,126989,396,317,7217,6758,128451,590,310,8148,7227,129274,645,278,7746,7480,129923,744,362,7278,7381,130576,629,339,8116,8075,131137,699,369,8221,8300,131689,638,337,8386,8561,132175,621,360,7363,7215
E07000208,Epsom and Ewell,75191,465,281,4769,4434,75839,370,491,5159,4789,76906,375,314,5186,4529,77988,477,307,5616,5046,78459,521,374,5140,5141,78999,539,319,5096,5094,79451,467,348,5802,5831,79928,551,321,5658,5779,80627,523,324,5977,5756,81003,521,407,5150,5089
E07000036,Erewash,112249,222,213,4356,4266,112833,156,183,4887,4676,113246,141,156,4905,4678,114155,205,115,5488,4910,114684,205,106,5086,4806,115112,188,157,4907,4633,115314,170,133,5514,5371,115490,176,274,5620,5375,115371,160,162,5769,5807,115332,161,109,5211,5079
E07000041,Exeter,117063,2666,1434,9301,9491,119040,2037,1002,9660,9268,121030,2333,996,9694,9452,123018,2387,1206,10913,10532,125679,2538,1035,11046,10038,127522,2507,1625,10943,10320,128916,2163,1536,13176,12658,130428,2414,1277,13227,12943,131405,2645,2100,14215,13919,133333,3086,1401,12894,12635
S12000014,Falkirk,156250,502,224,3696,2953,156800,312,341,3530,3145,157160,235,363,3841,3338,157690,327,312,3846,3446,158460,377,250,4101,3494,159380,383,228,4166,3381,160130,379,278,4261,3461,160340,330,310,3960,3550,160890,300,260,4190,3510,160560,290,400,3310,2980
E07000087,Fareham,111931,344,205,5412,4854,112888,274,188,6240,5480,113873,260,139,5900,4981,114663,312,161,6169,5601,115182,306,179,5916,5521,115818,324,179,5721,5238,116219,295,191,6368,5979,116339,276,229,6312,5980,116233,264,183,6119,6124,116338,250,186,5206,5016
E07000010,Fenland,95461,887,226,4135,4471,95975,949,449,4585,4734,96617,914,256,4555,4718,97591,803,190,5107,4855,98814,991,197,5052,4661,99636,924,301,4914,4745,100776,844,396,5692,4994,101491,749,514,5536,5020,101850,690,361,5264,5107,102080,613,259,4754,4584
N09000006,Fermanagh and Omagh,113501,738,603,2447,2527,114230,734,802,2623,2587,114365,711,724,2538,2867,114992,745,549,2521,2555,115311,696,649,3013,2808,115799,688,564,2758,2801,116289,565,452,3237,3314,116835,575,362,2917,3119,117397,861,453,2901,3268,117337,514,525,2836,3172
S12000047,Fife,365300,2298,998,8876,8100,366210,1962,1603,8779,8515,366900,1510,1564,8949,8591,367250,1629,1520,9265,8724,368080,1918,1090,9371,8971,370330,2051,1009,9353,8787,371410,1680,1009,9485,8632,371910,1570,1300,9590,8620,373550,1940,1170,9920,8400,374130,2080,1830,8300,7130
W06000005,Flintshire / Sir y Fflint,152666,294,238,4429,4521,152776,373,328,4692,4937,153223,413,194,4762,4679,153819,450,287,4857,4786,154085,521,408,4940,4875,154626,651,277,4876,4850,155155,510,451,5161,4809,155593,590,511,5096,4792,156100,507,468,5200,4708,156847,447,372,5037,4140
E07000112,Folkestone and Hythe,108199,542,398,4656,4259,108611,394,302,5020,4700,108767,310,235,4853,4684,109324,388,209,5347,4890,109838,390,219,5284,4552,111024,395,195,5458,4340,111427,369,172,5070,4699,112578,394,176,5697,4467,112996,343,183,5472,4791,113320,335,179,4629,4113
E07000080,Forest of Dean,82200,227,93,3862,3504,82716,242,147,3950,3459,82953,194,127,3949,3685,83682,214,145,4466,3720,84576,242,143,4448,3551,85411,221,123,4588,3753,85957,221,128,4650,4062,86543,292,131,4691,4144,86791,244,172,4686,4308,87107,221,141,4141,3725
E07000119,Fylde,76098,276,270,4333,3613,76073,223,133,4075,3939,76548,199,168,4521,3706,77140,218,199,4798,3840,77490,207,131,4622,3902,78153,212,153,4775,3797,78863,196,138,5104,3976,79770,222,124,5236,3838,80780,188,90,5415,4036,81211,205,87,4819,3703
